Stamm,Art,prot,FimH-Variante,measure 1,measure 1_2,measure 2,measure 2_2,measure 3,measure 3_2,Median (without negativ)
7551,Schwein ETEC,RNAse,1,74,69,24,34,14974,15012,45
122,Schwein Kommensale,RNAse,2,0,16,407,1055,155,165,98
136,Schwein Kommensale,RNAse,2,34994,40065,94303,17327,19482,19675,27273
91,Schwein Kommensale,Bsa,1,90,0,9,6,148,208,44
5547,HFEC,Bsa,1,961,1067,1267,591,541,1168,965
5682,Mensch ETEC,Bsa,1,76,128,86,56,31,29,17
5689,Mensch ETEC,Bsa,1,143,89,76,69,41,19,24
5690,Mensch ETEC,Bsa,1,84,64,89,84,29,41,25
5691,Mensch ETEC,Bsa,1,6,6,141,151,252,193,140
5998,Schwein EPEC,Bsa,1,79,31,64,59,24,29,-4
6586,Rind Kommensale,Bsa,1,16,16,3,23,14,11,9
6595,Rind Kommensale,Bsa,1,74,69,76,64,29,26,18
7501,Rind EPEC,Bsa,1,4,0,26,24,6,6,6
7503,Rind EPEC,Bsa,1,0,0,14,31,13,13,13
7506,Rind EPEC,Bsa,1,9,14,47,33,6,11,6
7507,Rind EPEC,Bsa,1,14,16,6,23,9,14,8
7509,Rind EPEC,Bsa,1,6,11,0,0,6,4,-2
7514,Rind EPEC,Bsa,1,155,215,97,148,178,188,161
7516,Rind EPEC,Bsa,1,165,182,188,138,200,282,179
7528,Rind EPEC,Bsa,1,225,259,208,161,198,208,202
7551,Schwein ETEC,Bsa,1,76,44,51,59,29,46,-1
122,Schwein Kommensale,Bsa,2,0,6,13,0,180,120,4
136,Schwein Kommensale,Bsa,2,16,20,117,225,108,153,107
