Stamm;Art;Protein;FimH-Variante;measure 1;measure 1_2;measure 2;measure 2_2;measure 3;measure 3_2;measure 4;measure 4_2;measure 5;measure 5_2;Median
91;Schwein Kommensale;RNase B;1;38763;50684;22673;47441;13560;16758;17280;19343;5183;3157;18312
4136;Schwein Kommensale;RNase B;4;19698;20597;21241;21261;37083;34215;23787;25127;19819;23069;22165
4310;Schwein Kommensale;RNase B;6;292;593;33;13;2;9;11;91;88;217;61
4315;Schwein Kommensale;RNase B;29;8919;16217;14283;4119;7797;7116;5459;10591;180;140;7457
4444;Schwein Kommensale;RNase B;;175;63;397;1631;6;6;31;113;39;36;51
4445;Schwein Kommensale;RNase B;2;40742;36491;35055;35989;63103;50441;13077;53051;9201;9184;36240
4732;Schwein Kommensale;RNase B;2;52302;65918;43112;30555;94848;95452;2779;14226;9637;10541;36834
5282;Mensch EPEC;RNase B;2;23512;20448;25724;22039;31145;36987;19715;17989;2295;2674;21244
5540;HFEC;RNase B;8;18734;29424;13858;6196;8200;11324;18103;17640;6793;7363;12591
5543;HFEC;RNase B;2;25549;28657;10524;37445;17199;17424;61175;62934;10838;10984;21487
5551;HFEC;RNase B;;3748;3236;2463;2477;3114;3269;698;985;1248;1627;2470
5554;HFEC;RNase B;8;17016;12770;15688;13555;16119;15239;18182;18246;7482;7031;15464
5631;Mensch EPEC;RNase B;2;28957;28771;44282;28482;23723;23441;31678;84580;20159;20411;28627
5651;Mensch EPEC;RNase B;8;15450;17422;14588;16091;13543;12525;20166;49653;8752;10481;15019
5695;Mensch ETEC;RNase B;9;940;3623;3458;4497;3402;5168;5270;1164;1171;1669;3430
5696;Mensch ETEC;RNase B;9;6371;6738;148;7905;2721;6605;9;11;51;64;1435
5981;Schwein EPEC;RNase B;2;146919;155710;47525;64495;37541;45556;58003;59474;18123;15373;52764
5984;Schwein EPEC;RNase B;2;117148;127009;25845;34789;18365;16837;25637;27121;13600;11997;25741
5990;Schwein EPEC;RNase B;2;48762;48698;36222;49534;22059;22170;50473;46416;14135;12314;41319
5995;Schwein EPEC;RNase B;7;26479;22309;22876;22078;23099;21110;51181;52266;7641;6016;22593
5999;Schwein EPEC;RNase B;2;40372;43247;35396;39765;62995;67863;51922;69907;18843;16785;41810
6586;Rind Kommensale;RNase B;1;12099;12424;11564;12515;16475;15827;9572;6415;8374;9909;11832
6592;Rind Kommensale;RNase B;2;33313;32092;38939;616;21325;21902;29632;16921;9040;9018;21614
6604;Rind Kommensale;RNase B;2;70775;71022;85908;82638;28182;24713;22132;60150;6823;6672;44166
7503;Rind EPEC;RNase B;1;5130;23513;5424;13548;7814;12651;14714;16268;3128;3380;10233
7504;Rind ETEC;RNase B;9;20;26;131;303;252;289;237;1002;113;46;184
7505;Rind EPEC;RNase B;2;27602;26685;27951;27681;33650;24032;19636;28384;8336;10548;27144
7507;Rind EPEC;RNase B;1;21283;22175;22529;31550;27012;30108;13726;13087;4131;1619;21729
7508;Rind ETEC;RNase B;9;1085;1678;1530;1671;10335;6972;22014;24723;138;118;1675
7511;Rind ETEC;RNase B;9;9894;7271;537;411;369;3519;6164;6972;51;54;2028
7514;Rind EPEC;RNase B;1;51078;42607;43635;751;11772;19467;23000;8671;5884;2840;15620
7515;Rind ETEC;RNase B;9;1027;106;723;1099;104;141;103;5518;101;111;126
7516;Rind EPEC;RNase B;1;26361;28104;26341;60976;18990;19785;19358;20570;4133;2548;20178
7517;Rind ETEC;RNase B;9;3962;5134;7767;13107;21944;20292;49807;38542;341;309;10437
7522;Rind ETEC;RNase B;9;6615;7135;19240;13823;10283;11898;14152;22588;106;198;11091
7524;Rind EPEC;RNase B;2;88585;86030;67145;54419;79288;74629;29947;28676;20015;22722;60782
7525;Rind ETEC;RNase B;9;4708;5756;6647;7925;11371;11334;5483;6883;36;24;6202
7526;Rind ETEC;RNase B;9;606;1631;542;559;3229;641;5644;1574;11;24;624
7528;Rind EPEC;RNase B;1;20897;25650;28357;1048;12775;9986;958;985;81;341;5517
7533;Rind EPEC;RNase B;2;85298;78391;85255;83320;87641;72094;13548;23772;14596;19131;75243
7534;Rind ETEC;RNase B;9;35561;38473;58248;57686;11888;9020;24511;11136;150;168;18200
7542;Schwein ETEC;RNase B;;21;16;14;16;21;21;9;4;4;9;15
7554;Schwein ETEC;RNase B;2;35659;21642;1220;447;26673;26967;25496;50621;1191;3323;23569
7555;Rind EPEC;RNase B;15;30301;25056;21090;19026;16421;15408;46941;41046;18655;15559;20058
7551;Schwein ETEC;RNase B;1;74;69;24;34;14974;15012;14;4;6;6;29
91;Schwein Kommensale;BSA;1;90;0;9;6;148;208;4;14;9;6;9
4136;Schwein Kommensale;BSA;4;94;74;106;56;39;16;0;11;0;4;28
4310;Schwein Kommensale;BSA;6;0;4;29;4;9;53;956;648;135;59;41
4315;Schwein Kommensale;BSA;29;0;0;11;9;13;6;6;9;2;4;6
4444;Schwein Kommensale;BSA;;19;6;26;235;218;437;0;9;0;4;14
4445;Schwein Kommensale;BSA;2;6;6;13;20;636;491;4;0;0;9;8
4732;Schwein Kommensale;BSA;2;20;20;13;104;337;33;89;14;39;41;36
5282;Mensch EPEC;BSA;2;6;9;6;6;26;53;0;0;9;4;6
5540;HFEC;BSA;8;104;59;14;46;26;24;14;11;19;14;22
5543;HFEC;BSA;2;16;6;77;219;125;277;9;6;6;11;14
5551;HFEC;BSA;;1236;1405;3390;1688;3572;2413;2897;1270;1010;1325;1547
5554;HFEC;BSA;8;86;79;41;69;26;19;24;39;84;44;43
5631;Mensch EPEC;BSA;2;155;13;47;155;160;200;21;104;34;26;76
5651;Mensch EPEC;BSA;8;54;59;69;86;21;26;4;14;6;4;24
5695;Mensch ETEC;BSA;9;6;205;205;316;203;190;0;4;4;0;98
5696;Mensch ETEC;BSA;9;249;124;229;178;143;190;0;0;0;2;134
5981;Schwein EPEC;BSA;2;0;0;24;19;33;6;9;19;2;6;8
5984;Schwein EPEC;BSA;2;0;39;9;16;40;33;31;26;21;24;25
5990;Schwein EPEC;BSA;2;178;178;121;114;208;193;29;16;4;4;118
5995;Schwein EPEC;BSA;7;91;74;49;49;36;29;29;19;14;19;33
5999;Schwein EPEC;BSA;2;0;9;151;222;245;13;14;19;46;34;27
6586;Rind Kommensale;BSA;1;16;16;3;23;14;11;39;93;81;51;20
6592;Rind Kommensale;BSA;2;195;168;182;138;145;185;0;2;34;29;142
6604;Rind Kommensale;BSA;2;6;3;242;144;212;97;0;2;19;4;13
7503;Rind EPEC;BSA;1;0;0;14;31;13;13;4;14;4;4;9
7504;Rind ETEC;BSA;9;0;0;9;9;6;6;19;9;2;0;6
7505;Rind EPEC;BSA;2;19;14;3;13;9;6;9;11;16;11;11
7507;Rind EPEC;BSA;1;14;16;6;23;9;14;14;49;2;4;14
7508;Rind ETEC;BSA;9;0;0;14;14;3;6;29;24;4;2;5
7511;Rind ETEC;BSA;9;19;4;3;0;9;9;2;6;0;2;4
7514;Rind EPEC;BSA;1;155;215;97;148;178;188;4;0;9;9;123
7515;Rind ETEC;BSA;9;14;6;6;0;6;4;0;0;4;6;5
7516;Rind EPEC;BSA;1;165;182;188;138;200;282;14;9;2;4;152
7517;Rind ETEC;BSA;9;11;16;26;0;9;14;11;14;4;4;11
7522;Rind ETEC;BSA;9;113;74;49;59;16;39;21;14;6;4;30
7524;Rind EPEC;BSA;2;13;3;161;6;26;60;9;6;9;6;9
7525;Rind ETEC;BSA;9;84;81;29;64;19;19;9;4;4;0;19
7526;Rind ETEC;BSA;9;175;147;171;161;208;366;9;4;4;2;154
7528;Rind EPEC;BSA;1;225;259;208;161;198;208;4;0;6;9;180
7533;Rind EPEC;BSA;2;16;13;134;185;36;47;0;4;4;2;15
7534;Rind ETEC;BSA;9;171;198;252;208;193;257;14;4;11;11;182
7542;Schwein ETEC;BSA;;9;16;0;0;6;6;0;4;0;6;5
7554;Schwein ETEC;BSA;2;128;137;175;107;168;170;6;0;4;6;118
7555;Rind EPEC;BSA;15;115;79;94;108;24;31;101;492;14;9;87
7551;Schwein ETEC;BSA;1;76;44;51;59;29;46;0;6;4;0;37
