Stamm;Art;Protein;FimH-Variante;measure 1;measure 1_2;measure 2;measure 2_2;measure 3;measure 3_2;measure 4;measure 4_2;measure 5;measure 5_2;Median
5540;HFEC;Bo2;8;10551;12961;25246;24340;11774;8446;17887;22613;30227;30242;20250
5543;HFEC;Bo2;2;19822;22212;11876;12443;13406;12458;58885;60873;30049;29130;21017
5551;HFEC;Bo2;;1656;2290;2026;1939;2744;2446;2813;1567;1589;1958;1992
5554;HFEC;Bo2;8;13778;13231;19971;20505;16131;16401;27084;26309;27589;27401;20238
5631;Mensch EPEC;Bo2;2;21060;24939;20832;21558;18481;16691;65641;64767;33133;34131;23249
5651;Mensch EPEC;Bo2;8;7594;7415;15490;16839;11685;12141;36863;80758;29538;29274;16165
5695;Mensch ETEC;Bo2;9;16332;15014;12651;13082;11983;15039;19864;15195;15309;15306;15117
5696;Mensch ETEC;Bo2;9;17109;15923;10573;11544;10841;9721;745;1688;532;4086;10147
5981;Schwein EPEC;Bo2;2;129362;137489;60400;58278;47335;23861;64329;71140;32783;33016;59339
5984;Schwein EPEC;Bo2;2;78324;79203;41472;41452;18276;20666;52885;53019;24265;25135;41462
5990;Schwein EPEC;Bo2;2;22705;23312;18772;18132;32957;39525;67905;69550;54141;53626;36241
5995;Schwein EPEC;Bo2;7;12463;13746;25893;25134;26487;28162;60227;57071;26034;26395;26215
5999;Schwein EPEC;Bo2;2;29484;28511;25947;24600;20161;20926;77486;53257;27728;28038;27883
6586;Rind Kommensale;Bo2;1;20426;24872;19324;24384;21836;17593;35728;31991;19898;20688;21262
6592;Rind Kommensale;Bo2;2;25987;26519;20007;20971;15965;18214;44442;39377;19463;20010;20491
6604;Rind Kommensale;Bo2;2;17466;19760;22631;23899;16986;19408;68624;72346;33744;32733;23265
7503;Rind EPEC;Bo2;1;44936;35915;25135;24984;7095;7603;18873;20594;22886;23317;23102
7504;Rind ETEC;Bo2;9;93;269;6365;5899;2048;3118;7836;8304;13372;11405;6132
7505;Rind EPEC;Bo2;2;20161;19961;22878;22866;16956;16693;28454;35842;20466;21298;20882
7507;Rind EPEC;Bo2;1;29221;30326;30148;29801;25925;24513;30888;27289;27597;26534;28409
7508;Rind ETEC;Bo2;9;85082;74763;18464;19505;16255;15918;34517;32771;22150;22194;22172
7511;Rind ETEC;Bo2;9;11509;8849;13394;12507;3130;1911;16820;14772;6521;7980;10179
7514;Rind EPEC;Bo2;1;18571;18819;13275;12438;8963;8629;12478;13464;21793;21449;13370
7515;Rind ETEC;Bo2;9;1857;3157;8411;10457;2677;1924;7791;10358;13845;15663;8101
7516;Rind EPEC;Bo2;1;8763;7673;11527;10705;8901;9498;16575;16542;22838;22581;11116
7517;Rind ETEC;Bo2;9;35054;34420;38945;33160;22489;22977;49792;52888;24825;23056;33790
7522;Rind ETEC;Bo2;9;10905;17080;15891;14442;16834;17684;44296;45153;28575;26898;17382
7524;Rind EPEC;Bo2;2;22105;20867;19621;20446;14746;15757;56997;35894;32431;30586;21486
7525;Rind ETEC;Bo2;9;8839;12856;5094;4792;28704;32749;31059;31879;7950;5357;10848
7526;Rind ETEC;Bo2;9;6524;1951;8718;7452;7764;8143;13612;18345;2872;3026;7608
7528;Rind EPEC;Bo2;1;19096;18558;13724;13300;8133;8220;31191;26621;26187;24040;18827
7533;Rind EPEC;Bo2;2;17956;18331;17937;19027;19009;18328;16000;15197;30385;29098;18330
7534;Rind ETEC;Bo2;9;23344;22866;17704;17199;11200;14538;31200;34725;15633;16463;17452
7542;Schwein ETEC;Bo2;;24;16;49;29;31;39;51;24;71;24;30
7554;Schwein ETEC;Bo2;2;12309;21452;14231;12448;22202;15490;62216;53443;20077;13914;17784
7555;Rind EPEC;Bo2;15;14273;15044;29415;18403;14635;14588;46783;32818;32620;29932;23909
7551;Schwein ETEC;Bo2;1;39;29;86;94;17573;17984;123;16;36;14;63
91;Schwein Kommensale;Ho2;1;16450;17701;13969;12191;11363;11447;37764;37955;14972;17560;15711
