Stamm,Art,prot,FimH-Variante,measure 1,measure 1_2,measure 2,measure 2_2,measure 3,measure 3_2,Median (without negativ)
6602,Rind Kommensale,Bo1,2,54166,141107,17887,17660,10997,10600,17747
6604,Rind Kommensale,Bo1,2,104868,108438,26631,26229,19478,20032,26404
7500,Rind EPEC,Bo1,2,30702,38418,16225,14979,22326,22140,22233
7505,Rind EPEC,Bo1,2,18873,19745,22673,22177,17795,17377,19278
7510,Rind EPEC,Bo1,2,33601,33601,63199,41007,50785,38180,39562
7524,Rind EPEC,Bo1,2,107261,151311,23490,22388,15453,16892,22913
7527,Rind EPEC,Bo1,2,4075,4766,13307,12478,11601,11646,11597
7533,Rind EPEC,Bo1,2,28789,95701,19765,20236,19693,20225,20204
7546,Schwein ETEC,Bo1,2,73641,51962,79564,84327,32047,18340,62775
7549,Schwein ETEC,Bo1,2,367,501,247,178,262,168,88
7550,Schwein ETEC,Bo1,2,27251,9702,3137,4002,6521,7165,6676
7554,Schwein ETEC,Bo1,2,14819,14502,15358,15903,16163,16584,15464
148,Schwein Kommensale,Bo1,3,6361,5852,9852,10202,4148,3551,5940
4298,Schwein Kommensale,Bo1,3,7960,7564,8322,8721,15309,16941,8522
5206,Mensch ETEC,Bo1,3,13585,10593,49039,66298,2880,1069,12058
5288,Mensch ETEC,Bo1,3,7445,5850,16198,6524,30274,18742,11790
5532,HFEC,Bo1,3,2778,2689,1510,1500,1694,2273,1984
4136,Schwein Kommensale,Bo1,4,19992,22162,20216,20550,33021,34289,21302
4374,Schwein Kommensale,Bo1,4,42096,23121,47169,50795,53529,51385,48951
5211,Mensch EPEC,Bo1,4,26009,20396,8713,6642,8819,7781,8766
5267,Mensch EPEC,Bo1,4,30113,29437,33856,36310,35567,35354,34574
5993,Schwein EPEC,Bo1,4,178,130,200,103,59,56,63
6584,Rind Kommensale,Bo1,4,34,64,21,19,29,29,-3
7535,Schwein ETEC,Bo1,4,614,908,254,185,1032,933,761
7553,Schwein ETEC,Bo1,4,1456,1520,15995,15193,23852,23180,15540
4305,Schwein Kommensale,Bo1,5,0,9,24,11,0,2,6
5202,Mensch ETEC,Bo1,5,0,0,0,2,4,6,1
4310,Schwein Kommensale,Bo1,6,11,56,21,9,6,16,14
4418,Schwein Kommensale,Bo1,6,17449,22767,20211,20937,21853,25432,21341
5980,Schwein EPEC,Bo1,6,0,0,4,4,2,6,3
6596,Rind Kommensale,Bo1,6,19339,18883,21226,21558,18494,17711,19057
7552,Schwein ETEC,Bo1,6,1525,2484,3695,5949,2033,3083,2730
5207,Mensch EPEC,Bo1,7,106460,97927,25481,25125,33268,33407,33338
5283,Mensch EPEC,Bo1,7,113,86,79,66,104,44,29
5284,Mensch EPEC,Bo1,7,94,86,71,66,15235,20528,36
5995,Schwein EPEC,Bo1,7,34445,24488,26789,27480,27889,27210,27291
7519,Rind EPEC,Bo1,7,14494,15569,18514,18244,28285,28766,18325
5208,Mensch EPEC,Bo1,8,36617,37544,27557,22175,18011,16309,24866
5209,Mensch EPEC,Bo1,8,39758,50052,19056,17436,25675,23170,24423
5540,HFEC,Bo1,8,11158,15445,17402,11727,8572,9436,11389
5542,HFEC,Bo1,8,7841,8401,16302,17008,5456,5262,8067
5545,HFEC,Bo1,8,12973,13709,21159,22281,23495,23748,21666
5549,HFEC,Bo1,8,24070,24191,29288,31626,28840,28593,28663
5553,HFEC,Bo1,8,22090,22680,12817,11457,20092,20183,20084
5554,HFEC,Bo1,8,17419,17582,20929,29925,23470,22284,21553
5651,Mensch EPEC,Bo1,8,20533,17263,17229,17929,17912,17835,17820
5654,Mensch EPEC,Bo1,8,27235,28553,19170,19430,14192,14504,19246
5287,Mensch ETEC,Bo1,9,26757,23934,20424,18011,37427,46601,25314
5695,Mensch ETEC,Bo1,9,27801,30282,12084,12528,15220,15235,15061
5696,Mensch ETEC,Bo1,9,17539,22417,10501,10306,11819,12976,12231
7496,Rind ETEC,Bo1,9,9015,12096,10642,19069,3762,3345,9829
7504,Rind ETEC,Bo1,9,2290,39,8661,8775,361,3853,3072
7508,Rind ETEC,Bo1,9,34470,33340,16218,17880,21018,16473,19449
7511,Rind ETEC,Bo1,9,15002,505,1991,1297,5802,2338,2133
7512,Rind ETEC,Bo1,9,49,44,16,29,21,29,-3
7515,Rind ETEC,Bo1,9,2803,5255,3442,3677,5877,6531,4435
7517,Rind ETEC,Bo1,9,35258,31357,34691,43716,26026,26948,32993
7518,Rind ETEC,Bo1,9,9533,10845,126,113,1798,2280,2008
7520,Rind ETEC,Bo1,9,11249,8104,22083,17808,16334,13147,14687
7521,Rind ETEC,Bo1,9,5993,6486,20154,24835,11987,11490,11685
7522,Rind ETEC,Bo1,9,23388,23468,15765,15856,23007,26120,23144
7523,Rind ETEC,Bo1,9,6006,6164,32161,29880,1951,1334,6031
7525,Rind ETEC,Bo1,9,16609,19688,20941,18940,26452,28136,20261
7526,Rind ETEC,Bo1,9,11147,5376,9045,8755,11799,8470,8733
7529,Rind ETEC,Bo1,9,30272,29982,23522,29437,20981,22177,26313
7534,Rind ETEC,Bo1,9,24986,53397,18717,20015,15054,11564,19199
7543,Schwein ETEC,Bo1,9,36,74,19,21,31,44,2
5538,HFEC,Bo1,10,4931,5374,3397,3385,3516,2345,3425
5986,Schwein EPEC,Bo1,11,79393,46552,31481,33278,34151,44343,39216
5987,Schwein EPEC,Bo1,11,93898,45938,44281,40333,37251,32270,42276
6580,Rind Kommensale,Bo1,12,9595,10164,19215,19173,11101,11759,11399
6598,Rind Kommensale,Bo1,12,145,94,86,103,56,59,36
7498,Rind ETEC,Bo1,13,21714,20973,13600,13392,15326,17766,16546
7502,Rind ETEC,Bo1,13,851,1389,8854,7972,11130,11698,8413
7530,Rind ETEC,Bo1,13,22559,24416,17065,16621,26578,26559,23434
7531,Rind ETEC,Bo1,13,23599,25526,19485,19267,22172,22192,22128
7499,Rind EPEC,Bo1,14,17870,15901,10600,9169,13124,16015,14513
7513,Rind EPEC,Bo1,14,6598,7299,15153,17085,205,321,6895
7532,Rind EPEC,Bo1,14,9845,7091,11522,14432,27066,24431,12923
7555,Rind EPEC,Bo1,15,31049,23292,24228,21940,19879,19663,22562
5539,HFEC,Bo1,16,25952,21573,25992,26826,19789,26081,25941
7536,Schwein ETEC,Bo1,17,21261,22185,23864,40999,19579,13102,21723
7497,Rind EPEC,Bo1,18,74098,44078,19844,18509,30539,30879,30709
5541,HFEC,Bo1,19,18658,18724,23817,25078,32746,33784,24394
5537,HFEC,Bo1,20,21969,20196,83237,81610,22281,20839,22094
5531,HFEC,Bo1,21,31584,30314,25769,28949,24394,20738,27359
5212,Mensch EPEC,Bo1,22,17449,17615,72067,68525,27007,27926,27435
5210,Mensch EPEC,Bo1,23,22626,22643,18705,15685,21073,20461,20767
4781,Schwein Kommensale,Bo1,24,101,79,99,81,8193,8894,46
6605,Rind Kommensale,Bo1,25,16297,21025,16666,16141,17436,14838,16428
5994,Schwein EPEC,Bo1,26,113,74,106,74,84,91,34
5548,HFEC,Bo1,27,20444,21360,21779,23062,23852,22499,22085
5528,HFEC,Bo1,28,59,44,49,36,1106,1015,54
4315,Schwein Kommensale,Bo1,29,9580,9260,10335,9832,7420,7579,9420
4127,Schwein Kommensale,Bo1,30,341,398,366,626,361,229,310
2340,Pantoea agglomerans,Bo1,-,640,515,249,168,180,180,48
2345,Serratia liquefaciens,Bo1,-,98779,91505,39617,40707,2679,4061,39995
2350,Buttiauxella izardii,Bo1,-,262,333,232,190,244,188,71
2351,Buttiauxella izardii,Bo1,-,333,326,252,185,403,242,122
2354,Pantoea agglomerans,Bo1,-,296,330,257,259,244,274,100
2375,Serratia liquefaciens,Bo1,-,140615,139182,52576,56606,17090,17979,54424
2376,Pantoea agglomerans,Bo1,-,694,701,203,257,170,215,69
2381,Pantoea agglomerans,Bo1,-,235,242,302,212,173,165,57
2387,Buttiauxella agrestis,Bo1,-,145,130,113,79,54,54,42
2391,Serratia liquefaciens,Bo1,-,111775,117624,44568,42168,3866,3039,43201
2392,Buttiauxella gaviniae,Bo1,-,130,89,71,59,79,69,21
2394,Buttiauxella gaviniae,Bo1,-,118,143,71,84,49,59,24
2395,Buttiauxella gaviniae,Bo1,-,138,111,69,96,61,64,29
2398,Buttiauxella gaviniae,Bo1,-,140,113,94,227,74,69,50
2406,Serratia liquefaciens,Bo1,-,89718,86428,50077,45101,32387,30629,47422
2407,Buttiauxella gaviniae,Bo1,-,289,279,210,207,225,158,51
2416,Buttiauxella gaviniae,Bo1,-,434,363,178,188,242,163,48
2430,Pantoea agglomerans,Bo1,-,296,478,262,232,217,200,80
2899,Serratia liquefaciens,Bo1,-,72130,80919,29816,29103,9914,11071,29293
2901,Serratia fonticola,Bo1,-,53,438,193,158,44,61,83
2903,Serratia fonticola,Bo1,-,0,74,153,411,29,51,36
2904,Serratia fonticola,Bo1,-,158,228,143,178,41,56,124
2910,Pantoea agglomerans,Bo1,-,6,60,108,113,24,24,16
2915,Pantoea agglomerans,Bo1,-,16,13,99,120,21,36,2
2916,Pantoea agglomerans,Bo1,-,9,3,148,145,24,29,0
2918,Pantoea agglomerans,Bo1,-,6,6,111,304,14,16,-12
2924,Buttiauxella gaviniae,Bo1,-,384,310,252,220,160,222,70
